MATRICULA;CODIGO_UNIDADE;CLASSE;CODIGO_UNIDADE_ENSINO_SISTEC;CODIGO_MUNICIPIO_DV;INSTITUICAO;JORNADA_TRABALHO;MUNICIPIO;NUMERO_REGISTROS;REGIAO;RSC;TITULACAO;UF;UNIDADE_LOTACAO;VINCULO_CARREIRA;VINCULO_CONTRATO;VINCULO_PROFESSOR
48467;161;D;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48493;161;C;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48503;161;C;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48508;161;B;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48511;161;C;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Especialização;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48512;161;C;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48513;161;C;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48514;161;B;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48517;161;C;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48519;613;D;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
48521;161;C;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48523;161;D;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48524;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
48525;161;D;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Especialização;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48536;161;D;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
48541;161;E;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Mestrado;PA;Campus Castanhal;PCCTAE;Efetivo;Não
49084;161;C;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Mestrado;PA;Campus Castanhal;PCCTAE;Efetivo;Não
30164;113;E;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
41407;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Graduação;PA;Campus Belém;PCCTAE;Efetivo;Não
41408;113;E;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
41411;113;C;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
41414;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
41416;613;D;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
41426;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Graduação;PA;Campus Belém;PCCTAE;Efetivo;Não
41431;613;D;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
41434;113;C;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
54583;613;E;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Mestrado;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
190507;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
53286;161;C;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Especialização;PA;Campus Castanhal;PCCTAE;Efetivo;Não
53336;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
54083;161;D;2915;1502400;IFPA;DE;Castanhal;1;Região Norte;RSC II;Especialização;PA;Campus Castanhal;EBTT;Efetivo;Sim
54129;161;D;2915;1502400;IFPA;DE;Castanhal;1;Região Norte;-;Doutorado;PA;Campus Castanhal;EBTT;Efetivo;Sim
54301;161;D;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Especialização;PA;Campus Castanhal;PCCTAE;Efetivo;Não
54460;161;C;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Graduação;PA;Campus Castanhal;PCCTAE;Efetivo;Não
271897;613;C;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
272892;113;C;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
272947;613;E;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
272994;113;D;2914;1501402;IFPA;20h;Belém;1;Região Norte;RSC II;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
273057;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC I;Graduação;PA;Campus Belém;EBTT;Efetivo;Sim
273076;113;S;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PROF. OUTROS;Efetivo;Sim
273078;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;RSC II;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
273080;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC II;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
273091;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
273098;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
273103;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
273109;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
273130;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
273132;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
273134;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
273141;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC II;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
273145;113;D;2914;1501402;IFPA;20h;Belém;1;Região Norte;-;Graduação;PA;Campus Belém;EBTT;Efetivo;Sim
273148;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
273163;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Doutorado;PA;Campus Belém;EBTT;Efetivo;Sim
273164;113;D;2914;1501402;IFPA;20h;Belém;1;Região Norte;-;Doutorado;PA;Campus Belém;EBTT;Efetivo;Sim
273167;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC II;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
273170;113;C;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
273172;613;C;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
273178;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
273182;113;C;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
273192;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Doutorado;PA;Campus Belém;EBTT;Efetivo;Sim
273196;113;E;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
273215;613;D;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
273236;113;S;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PROF. OUTROS;Efetivo;Sim
273238;613;D;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Graduação;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
273239;113;C;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
273241;113;C;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
273243;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC II;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
273244;113;C;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
273245;113;C;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
273246;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
273258;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Doutorado;PA;Campus Belém;EBTT;Efetivo;Sim
273274;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
273294;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
273296;613;C;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
273299;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
273301;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
273302;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
273303;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
273304;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
273309;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
273312;113;C;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
273313;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Graduação;PA;Campus Belém;PCCTAE;Efetivo;Não
273321;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC II;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
273323;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
273325;113;E;2914;1501402;IFPA;20h;Belém;1;Região Norte;-;Graduação;PA;Campus Belém;PROF. OUTROS;Efetivo;Sim
273327;113;D;2914;1501402;IFPA;20h;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
273329;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Doutorado;PA;Campus Belém;EBTT;Efetivo;Sim
273334;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC II;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
273342;613;D;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Graduação;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
273367;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
273394;113;C;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
273395;613;D;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
273443;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
273450;113;E;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Mestrado;PA;Campus Belém;PROF. OUTROS;Efetivo;Sim
273455;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;RSC II;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
327728;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Graduação;PA;Campus Belém;EBTT;Efetivo;Sim
1004100;366;D;32045;1505536;IFPA;40h;Parauapebas;1;Região Norte;-;Graduação;PA;Campus Parauapebas;EBTT;Substituto/Temporario;Sim
446685;161;D;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Mestrado;PA;Campus Castanhal;PCCTAE;Efetivo;Não
672381;113;D;2914;1501402;IFPA;20h;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
713714;161;D;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Educação Básica;PA;Campus Castanhal;PCCTAE;Efetivo;Não
718714;319;D;2919;1504208;IFPA;DE;Marabá;1;Região Norte;RSC III;Mestrado;PA;Campus Marabá Industrial;EBTT;Efetivo;Sim
718871;319;D;2919;1504208;IFPA;40h;Marabá;1;Região Norte;-;Mestrado;PA;Campus Marabá Industrial;EBTT;Substituto/Temporario;Sim
757266;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Graduação;PA;Campus Belém;PCCTAE;Efetivo;Não
758714;113;C;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Graduação;PA;Campus Belém;PCCTAE;Efetivo;Não
759059;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
957314;511;D;2918;1508100;IFPA;DE;Tucuruí;1;Região Norte;RSC III;Mestrado;PA;Campus Tucuruí;EBTT;Efetivo;Sim
972889;113;D;2914;1501402;IFPA;20h;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
990129;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Doutorado;PA;Campus Belém;EBTT;Efetivo;Sim
1011667;613;E;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
1012606;161;C;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Graduação;PA;Campus Castanhal;PCCTAE;Efetivo;Não
1013078;1;E;3524;1500107;IFPA;40h;Abaetetuba;1;Região Norte;-;Mestrado;PA;Campus Abaetetuba;PCCTAE;Efetivo;Não
1004507;1;D;3524;1500107;IFPA;DE;Abaetetuba;1;Região Norte;RSC II;Especialização;PA;Campus Abaetetuba;EBTT;Efetivo;Sim
1006817;123;D;3526;1501709;IFPA;20h;Bragança;1;Região Norte;-;Graduação;PA;Campus Bragança;EBTT;Substituto/Temporario;Sim
1007237;43;D;13863;1501808;IFPA;DE;Breves;1;Região Norte;-;Doutorado;PA;Campus Breves;EBTT;Efetivo;Sim
1007401;444;D;13395;1506807;IFPA;DE;Santarém;1;Região Norte;RSC III;Mestrado;PA;Campus Santarém;EBTT;Efetivo;Sim
1008207;16;D;32043;1500800;IFPA;DE;Ananindeua;1;Região Norte;RSC III;Mestrado;PA;Campus Ananindeua;EBTT;Efetivo;Sim
1008302;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Doutorado;PA;Campus Belém;EBTT;Efetivo;Sim
1008946;320;C;2917;1504208;IFPA;40h;Marabá;1;Região Norte;-;Graduação;PA;Campus Marabá Rural;PCCTAE;Efetivo;Não
1009664;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Doutorado;PA;Campus Belém;EBTT;Efetivo;Sim
1009930;123;D;3526;1501709;IFPA;DE;Bragança;1;Região Norte;-;Doutorado;PA;Campus Bragança;EBTT;Efetivo;Sim
1010170;702;D;32049;1508209;IFPA;40h;Vigia;1;Região Norte;-;Mestrado;PA;Campus Avançado Vigia;EBTT;Substituto/Temporario;Sim
1013722;350;D;32074;1505106;IFPA;DE;Óbidos;1;Região Norte;-;Mestrado;PA;Campus Óbidos;EBTT;Efetivo;Sim
1013876;1;D;3524;1500107;IFPA;DE;Abaetetuba;1;Região Norte;-;Doutorado;PA;Campus Abaetetuba;EBTT;Efetivo;Sim
1017691;161;D;2915;1502400;IFPA;DE;Castanhal;1;Região Norte;-;Doutorado;PA;Campus Castanhal;EBTT;Efetivo;Sim
1017853;43;D;13863;1501808;IFPA;DE;Breves;1;Região Norte;-;Doutorado;PA;Campus Breves;EBTT;Efetivo;Sim
1021258;350;D;32074;1505106;IFPA;DE;Óbidos;1;Região Norte;-;Doutorado;PA;Campus Óbidos;EBTT;Efetivo;Sim
1035188;186;E;3522;1502707;IFPA;40h;Conceição do Araguaia;1;Região Norte;-;Mestrado;PA;Campus Conceição do Araguaia;PCCTAE;Efetivo;Não
1028800;350;D;32074;1505106;IFPA;DE;Óbidos;1;Região Norte;RSC II;Especialização;PA;Campus Óbidos;EBTT;Efetivo;Sim
1030461;366;D;32045;1505536;IFPA;DE;Parauapebas;1;Região Norte;-;Mestrado;PA;Campus Parauapebas;EBTT;Efetivo;Sim
1031068;139;D;32358;1502103;IFPA;DE;Cametá;1;Região Norte;RSC III;Mestrado;PA;Campus Cametá;EBTT;Efetivo;Sim
1031978;13;D;2916;1500602;IFPA;DE;Altamira;1;Região Norte;RSC III;Mestrado;PA;Campus Altamira;EBTT;Efetivo;Sim
1041592;444;D;13395;1506807;IFPA;40h;Santarém;1;Região Norte;-;Graduação;PA;Campus Santarém;PCCTAE;Efetivo;Não
1042465;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
1042514;161;D;2915;1502400;IFPA;DE;Castanhal;1;Região Norte;RSC III;Mestrado;PA;Campus Castanhal;EBTT;Efetivo;Sim
1043040;16;E;32043;1500800;IFPA;40h;Ananindeua;1;Região Norte;-;Especialização;PA;Campus Ananindeua;PCCTAE;Efetivo;Não
1043102;320;D;2917;1504208;IFPA;DE;Marabá;1;Região Norte;RSC III;Mestrado;PA;Campus Marabá Rural;EBTT;Efetivo;Sim
1043254;139;D;32358;1502103;IFPA;DE;Cametá;1;Região Norte;RSC III;Mestrado;PA;Campus Cametá;EBTT;Efetivo;Sim
1043590;266;D;13396;1503606;IFPA;DE;Itaituba;1;Região Norte;RSC II;Especialização;PA;Campus Itaituba;EBTT;Efetivo;Sim
1036480;319;D;2919;1504208;IFPA;DE;Marabá;1;Região Norte;RSC III;Mestrado;PA;Campus Marabá Industrial;EBTT;Efetivo;Sim
1039829;613;D;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
1051459;444;D;13395;1506807;IFPA;DE;Santarém;1;Região Norte;-;Mestrado;PA;Campus Santarém;EBTT;Efetivo;Sim
1051782;43;D;13863;1501808;IFPA;DE;Breves;1;Região Norte;-;Especialização;PA;Campus Breves;EBTT;Efetivo;Sim
1045494;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Graduação;PA;Campus Belém;EBTT;Efetivo;Sim
1046207;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Doutorado;PA;Campus Belém;EBTT;Efetivo;Sim
1047658;350;E;32074;1505106;IFPA;40h;Óbidos;1;Região Norte;-;Mestrado;PA;Campus Óbidos;PCCTAE;Efetivo;Não
1049132;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
1050698;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Graduação;PA;Campus Belém;PCCTAE;Efetivo;Não
1057519;186;D;3522;1502707;IFPA;40h;Conceição do Araguaia;1;Região Norte;-;Graduação;PA;Campus Conceição do Araguaia;PCCTAE;Efetivo;Não
1058181;350;D;32074;1505106;IFPA;DE;Óbidos;1;Região Norte;RSC II;Especialização;PA;Campus Óbidos;EBTT;Efetivo;Sim
1058496;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
1054952;16;D;32043;1500800;IFPA;40h;Ananindeua;1;Região Norte;-;Especialização;PA;Campus Ananindeua;PCCTAE;Efetivo;Não
1054969;113;C;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
1055154;613;D;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
1055189;613;D;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
1055196;613;E;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Doutorado;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
1055377;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
1055380;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Mestrado;PA;Campus Belém;PCCTAE;Efetivo;Não
1055393;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
1055403;113;B;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Campus Belém;PCCTAE;Efetivo;Não
1055450;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
1055483;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
1055484;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Doutorado;PA;Campus Belém;EBTT;Efetivo;Sim
1055790;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
1055803;113;D;2914;1501402;IFPA;20h;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
1055824;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC II;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
1067353;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Mestrado;PA;Campus Belém;PCCTAE;Efetivo;Não
1067595;161;D;2915;1502400;IFPA;DE;Castanhal;1;Região Norte;RSC III;Mestrado;PA;Campus Castanhal;EBTT;Efetivo;Sim
1061338;366;D;32045;1505536;IFPA;DE;Parauapebas;1;Região Norte;-;Especialização;PA;Campus Parauapebas;EBTT;Efetivo;Sim
1061461;366;D;32045;1505536;IFPA;40h;Parauapebas;1;Região Norte;-;Especialização;PA;Campus Parauapebas;PCCTAE;Efetivo;Não
1061465;366;D;32045;1505536;IFPA;DE;Parauapebas;1;Região Norte;RSC III;Mestrado;PA;Campus Parauapebas;EBTT;Efetivo;Sim
1063540;186;C;3522;1502707;IFPA;40h;Conceição do Araguaia;1;Região Norte;-;Graduação;PA;Campus Conceição do Araguaia;PCCTAE;Efetivo;Não
1064481;1;D;3524;1500107;IFPA;DE;Abaetetuba;1;Região Norte;RSC III;Mestrado;PA;Campus Abaetetuba;EBTT;Efetivo;Sim
1064776;511;D;2918;1508100;IFPA;DE;Tucuruí;1;Região Norte;-;Doutorado;PA;Campus Tucuruí;EBTT;Efetivo;Sim
1064999;1;D;3524;1500107;IFPA;DE;Abaetetuba;1;Região Norte;RSC II;Especialização;PA;Campus Abaetetuba;EBTT;Efetivo;Sim
1065033;13;D;2916;1500602;IFPA;DE;Altamira;1;Região Norte;-;Doutorado;PA;Campus Altamira;EBTT;Efetivo;Sim
1065278;350;D;32074;1505106;IFPA;DE;Óbidos;1;Região Norte;-;Mestrado;PA;Campus Óbidos;EBTT;Efetivo;Sim
1077378;1;D;3524;1500107;IFPA;DE;Abaetetuba;1;Região Norte;-;Mestrado;PA;Campus Abaetetuba;EBTT;Efetivo;Sim
1077961;613;D;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
1077965;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;PCCTAE;Efetivo;Não
1078578;444;D;13395;1506807;IFPA;DE;Santarém;1;Região Norte;-;Doutorado;PA;Campus Santarém;EBTT;Efetivo;Sim
1079519;186;D;3522;1502707;IFPA;DE;Conceição do Araguaia;1;Região Norte;-;Mestrado;PA;Campus Conceição do Araguaia;EBTT;Efetivo;Sim
1080604;16;D;32043;1500800;IFPA;DE;Ananindeua;1;Região Norte;-;Doutorado;PA;Campus Ananindeua;EBTT;Efetivo;Sim
1080637;139;D;32358;1502103;IFPA;40h;Cametá;1;Região Norte;-;Graduação;PA;Campus Cametá;PCCTAE;Efetivo;Não
1080852;511;D;2918;1508100;IFPA;DE;Tucuruí;1;Região Norte;-;Doutorado;PA;Campus Tucuruí;EBTT;Efetivo;Sim
1070077;350;D;32074;1505106;IFPA;DE;Óbidos;1;Região Norte;RSC III;Mestrado;PA;Campus Óbidos;EBTT;Efetivo;Sim
1073849;366;E;32045;1505536;IFPA;40h;Parauapebas;1;Região Norte;-;Especialização;PA;Campus Parauapebas;PCCTAE;Efetivo;Não
1074356;123;D;3526;1501709;IFPA;40h;Bragança;1;Região Norte;-;Mestrado;PA;Campus Bragança;PCCTAE;Efetivo;Não
1074550;350;D;32074;1505106;IFPA;DE;Óbidos;1;Região Norte;RSC III;Mestrado;PA;Campus Óbidos;EBTT;Efetivo;Sim
1075808;362;D;32357;1505502;IFPA;DE;Paragominas;1;Região Norte;RSC III;Mestrado;PA;Campus Paragominas;EBTT;Efetivo;Sim
1075965;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Graduação;PA;Campus Belém;EBTT;Efetivo;Sim
1076227;366;D;32045;1505536;IFPA;DE;Parauapebas;1;Região Norte;RSC III;Mestrado;PA;Campus Parauapebas;EBTT;Efetivo;Sim
1208957;266;D;13396;1503606;IFPA;DE;Itaituba;1;Região Norte;-;Mestrado;PA;Campus Itaituba;EBTT;Efetivo;Sim
