MATRICULA;CODIGO_UNIDADE;CLASSE;CODIGO_UNIDADE_ENSINO_SISTEC;CODIGO_MUNICIPIO_DV;INSTITUICAO;JORNADA_TRABALHO;MUNICIPIO;NUMERO_REGISTROS;REGIAO;RSC;TITULACAO;UF;UNIDADE_LOTACAO;VINCULO_CARREIRA;VINCULO_CONTRATO;VINCULO_PROFESSOR
2998429;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
2998517;511;D;2918;1508100;IFPA;DE;Tucuruí;1;Região Norte;-;Doutorado;PA;Campus Tucuruí;EBTT;Efetivo;Sim
2998533;13;D;2916;1500602;IFPA;DE;Altamira;1;Região Norte;RSC III;Mestrado;PA;Campus Altamira;EBTT;Efetivo;Sim
2998624;613;E;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
2998933;139;D;32358;1502103;IFPA;DE;Cametá;1;Região Norte;RSC III;Mestrado;PA;Campus Cametá;EBTT;Efetivo;Sim
2999373;13;D;2916;1500602;IFPA;DE;Altamira;1;Região Norte;RSC III;Mestrado;PA;Campus Altamira;EBTT;Efetivo;Sim
2999404;13;D;2916;1500602;IFPA;DE;Altamira;1;Região Norte;-;Doutorado;PA;Campus Altamira;EBTT;Efetivo;Sim
2894258;186;E;3522;1502707;IFPA;25h;Conceição do Araguaia;1;Região Norte;-;Especialização;PA;Campus Conceição do Araguaia;PCCTAE;Efetivo;Não
2894566;362;D;32357;1505502;IFPA;DE;Paragominas;1;Região Norte;RSC III;Mestrado;PA;Campus Paragominas;EBTT;Efetivo;Sim
3000039;444;D;13395;1506807;IFPA;40h;Santarém;1;Região Norte;-;Especialização;PA;Campus Santarém;PCCTAE;Efetivo;Não
3000098;362;D;32357;1505502;IFPA;DE;Paragominas;1;Região Norte;-;Doutorado;PA;Campus Paragominas;EBTT;Efetivo;Sim
